OG	tree	reconciliation_map	flipped_nodes
0	(noD_5_0_10_0|G1_2[node_id=1;species=H2],noD_5_0_10_0|G0_1[node_id=0;species=H1])S[node_id=2];	0:9,1:8,2:7	
1	(noD_5_2_10_0|G0_0[node_id=0;species=H0],noD_5_2_10_0|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
2	(noD_5_0_6_0|G0_0[node_id=0;species=H0],noD_5_0_6_0|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
3	(noD_5_6_10_2|G0_0[node_id=0;species=H0],noD_5_6_10_2|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
4	(noD_5_1_2_0|G0_0[node_id=0;species=H0],noD_5_1_2_0|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
5	((noD_5_0_9_1|G0_0[node_id=0;species=H0],X[node_id=3])S[node_id=2],(noD_5_0_9_1|G1_4[node_id=1;species=H4],X[node_id=5])S[node_id=4])S[node_id=6];	0:3,1:6,2:2,3:4,4:5,5:7,6:1	
6	(noD_5_1_9_0|G0_0[node_id=0;species=H0],noD_5_1_9_0|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
7	(noD_5_2_9_0|G0_0[node_id=0;species=H0],noD_5_2_9_0|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
8	(noD_5_4_6_0|G0_0[node_id=1;species=H0],noD_5_4_6_0|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
9	(noD_5_5_6_0|G0_0[node_id=0;species=H0],noD_5_5_6_0|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
10	(noD_5_9_5_0|G0_0[node_id=0;species=H0],noD_5_9_5_0|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
11	((noD_5_1_10_4|G1_7[node_id=0;species=H7],X[node_id=3])S[node_id=2],(noD_5_1_10_4|G0_4[node_id=1;species=H4],X[node_id=5])S[node_id=4])S[node_id=6];	0:4,1:6,2:2,3:3,4:5,5:7,6:1	
12	((noD_5_6_10_4|G1_7[node_id=0;species=H7],X[node_id=3])S[node_id=2],((noD_5_6_10_4|G0_1[node_id=1;species=H1],X[node_id=5])S[node_id=4],X[node_id=7])S[node_id=6])S[node_id=8];	0:4,1:9,2:2,3:3,4:7,5:8,6:5,7:6,8:1	
13	(noD_5_1_4_1|G0_0[node_id=1;species=H0],noD_5_1_4_1|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
14	(noD_5_2_4_1|G0_0[node_id=1;species=H0],noD_5_2_4_1|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
15	(noD_5_1_4_2|G0_0[node_id=0;species=H0],noD_5_1_4_2|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
16	(noD_5_5_1_2|G0_0[node_id=1;species=H0],noD_5_5_1_2|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
17	(noD_5_4_3_1|G0_0[node_id=1;species=H0],noD_5_4_3_1|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
18	(noD_5_3_5_1|G0_0[node_id=1;species=H0],noD_5_3_5_1|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
19	(noD_5_1_6_3|G0_0[node_id=1;species=H0],noD_5_1_6_3|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
20	(noD_5_1_5_4|G0_0[node_id=1;species=H0],noD_5_1_5_4|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
21	(noD_5_4_9_1|G0_0[node_id=0;species=H0],noD_5_4_9_1|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
22	(noD_5_2_8_3|G0_0[node_id=0;species=H0],noD_5_2_8_3|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
23	(noD_5_4_9_2|G0_0[node_id=0;species=H0],noD_5_4_9_2|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
24	(noD_5_5_3_3|G0_0[node_id=0;species=H0],noD_5_5_3_3|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
25	(noD_5_3_6_3|G0_0[node_id=1;species=H0],noD_5_3_6_3|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
26	(noD_5_3_7_4|G0_0[node_id=0;species=H0],noD_5_3_7_4|G1_7[node_id=1;species=H7])S[node_id=2];	0:3,1:4,2:2	
27	(noD_5_4_9_3|G0_0[node_id=1;species=H0],noD_5_4_9_3|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
28	(noD_5_4_8_4|G0_0[node_id=1;species=H0],noD_5_4_8_4|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
29	(noD_5_5_5_4|G0_0[node_id=1;species=H0],noD_5_5_5_4|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
30	(noD_5_7_8_4|G0_0[node_id=1;species=H0],noD_5_7_8_4|G1_7[node_id=0;species=H7])S[node_id=2];	0:4,1:3,2:2	
31	(noD_5_1_9_4|G1_2[node_id=0;species=H2],noD_5_1_9_4|G0_1[node_id=1;species=H1])S[node_id=2];	0:8,1:9,2:7	
32	(noD_5_3_4_2|G1_4[node_id=1;species=H4],(noD_5_3_4_2|G0_1[node_id=0;species=H1],X[node_id=3])S[node_id=2])S[node_id=4];	0:9,1:6,2:7,3:8,4:5	
33	(noD_5_0_10_3|G3_4[node_id=2;species=H4],(noD_5_0_10_3|G1_2[node_id=0;species=H2],noD_5_0_10_3|G0_1[node_id=1;species=H1])S[node_id=3])S[node_id=4];	0:8,1:9,2:6,3:7,4:5	
34	(noD_5_6_10_0|G3_4[node_id=2;species=H4],(noD_5_6_10_0|G1_2[node_id=0;species=H2],noD_5_6_10_0|G0_1[node_id=1;species=H1])S[node_id=3])S[node_id=4];	0:8,1:9,2:6,3:7,4:5	
35	(noD_5_0_9_0|G3_4[node_id=1;species=H4],(noD_5_0_9_0|G1_2[node_id=2;species=H2],noD_5_0_9_0|G0_1[node_id=0;species=H1])S[node_id=3])S[node_id=4];	0:9,1:6,2:8,3:7,4:5	
36	((noD_5_8_10_2|G0_0[node_id=1;species=H0],X[node_id=4])S[node_id=3],((noD_5_8_10_2|G2_2[node_id=2;species=H2],noD_5_8_10_2|G1_1[node_id=0;species=H1])S[node_id=5],X[node_id=7])S[node_id=6])S[node_id=8];	0:9,1:3,2:8,3:2,4:4,5:7,6:5,7:6,8:1	
37	(noD_5_10_8_4|G0_0[node_id=3;species=H0],(noD_5_10_8_4|G2_7[node_id=0;species=H7],noD_5_10_8_4|G1_7[node_id=1;species=H7])D[node_id=2])S[node_id=4];	0:4,1:4,2:4,3:3,4:2	
38	((noD_5_0_3_3|G0_0[node_id=2;species=H0],noD_5_0_3_3|G3_7[node_id=0;species=H7])S[node_id=3],(noD_5_0_3_3|G1_4[node_id=1;species=H4],X[node_id=5])S[node_id=4])S[node_id=6];	0:4,1:6,2:3,3:2,4:5,5:7,6:1	
39	((noD_5_1_10_2|G3_7[node_id=2;species=H7],X[node_id=4])S[node_id=3],((noD_5_1_10_2|G1_2[node_id=0;species=H2],noD_5_1_10_2|G0_1[node_id=1;species=H1])S[node_id=5],X[node_id=7])S[node_id=6])S[node_id=8];	0:8,1:9,2:4,3:2,4:3,5:7,6:5,7:6,8:1	
40	(noD_5_2_10_4|G3_4[node_id=2;species=H4],(noD_5_2_10_4|G1_2[node_id=1;species=H2],noD_5_2_10_4|G0_1[node_id=0;species=H1])S[node_id=3])S[node_id=4];	0:9,1:8,2:6,3:7,4:5	
41	((noD_5_5_10_2|G3_7[node_id=0;species=H7],X[node_id=4])S[node_id=3],((noD_5_5_10_2|G1_2[node_id=2;species=H2],noD_5_5_10_2|G0_1[node_id=1;species=H1])S[node_id=5],X[node_id=7])S[node_id=6])S[node_id=8];	0:4,1:9,2:8,3:2,4:3,5:7,6:5,7:6,8:1	
42	(noD_5_9_10_3|G3_4[node_id=0;species=H4],(noD_5_9_10_3|G1_2[node_id=1;species=H2],noD_5_9_10_3|G0_1[node_id=2;species=H1])S[node_id=3])S[node_id=4];	0:6,1:8,2:9,3:7,4:5	
43	(noD_5_8_10_4|G3_4[node_id=2;species=H4],(noD_5_8_10_4|G1_2[node_id=0;species=H2],noD_5_8_10_4|G0_1[node_id=1;species=H1])S[node_id=3])S[node_id=4];	0:8,1:9,2:6,3:7,4:5	
44	(noD_5_1_7_0|G3_4[node_id=2;species=H4],(noD_5_1_7_0|G1_2[node_id=1;species=H2],noD_5_1_7_0|G0_1[node_id=0;species=H1])S[node_id=3])S[node_id=4];	0:9,1:8,2:6,3:7,4:5	
45	(noD_5_0_6_2|G3_4[node_id=2;species=H4],(noD_5_0_6_2|G1_2[node_id=1;species=H2],noD_5_0_6_2|G0_1[node_id=0;species=H1])S[node_id=3])S[node_id=4];	0:9,1:8,2:6,3:7,4:5	
46	(noD_5_0_9_3|G3_4[node_id=2;species=H4],(noD_5_0_9_3|G1_2[node_id=1;species=H2],noD_5_0_9_3|G0_1[node_id=0;species=H1])S[node_id=3])S[node_id=4];	0:9,1:8,2:6,3:7,4:5	
47	(noD_5_7_8_0|G3_4[node_id=0;species=H4],(noD_5_7_8_0|G1_2[node_id=1;species=H2],noD_5_7_8_0|G0_1[node_id=2;species=H1])S[node_id=3])S[node_id=4];	0:6,1:8,2:9,3:7,4:5	
48	(((noD_5_5_8_0|G2_7[node_id=0;species=H7],noD_5_5_8_0|G1_7[node_id=1;species=H7])D[node_id=2],X[node_id=5])S[node_id=4],(noD_5_5_8_0|G0_4[node_id=3;species=H4],X[node_id=7])S[node_id=6])S[node_id=8];	0:4,1:4,2:4,3:6,4:2,5:3,6:5,7:7,8:1	
49	((noD_5_2_7_2|G0_0[node_id=0;species=H0],noD_5_2_7_2|G1_0[node_id=1;species=H0])D[node_id=2],noD_5_2_7_2|G3_7[node_id=3;species=H7])S[node_id=4];	0:3,1:3,2:3,3:4,4:2	
50	((noD_5_9_8_2|G0_0[node_id=1;species=H0],noD_5_9_8_2|G1_0[node_id=2;species=H0])D[node_id=3],noD_5_9_8_2|G3_7[node_id=0;species=H7])S[node_id=4];	0:4,1:3,2:3,3:3,4:2	
